	UW Yr	Class	IS_CRED	Terr	Commission	Prof Comm	BROKER_PRESENT	Signed %	ULR/ALR
106	8	B	0	Emerging Europe	0.3	0.33	0	0.24	0.20001999999999998
107	9	B	0	Emerging Europe	0.3	0.33	0	0.24	0.1
108	10	B	0	Emerging Europe	0.3	0.33	0	0.294	0.185
109	11	B	0	Emerging Europe	0.33	0.33	0	0.11	0.3
110	12	B	0	Emerging Europe	0.33	0.33	0	0.11	0.2
111	13	B	0	Emerging Europe	0.35	0.35	0	0.07	0.2
112	14	B	0	Emerging Europe	0.35	0.35	0	0.078	0.31
113	15	B	0	Emerging Europe	0.37	0.35	0	0.078	0.1
114	16	B	0	Emerging Europe	0.375	0.38	0	0.2	0.75
115	17	B	0	Emerging Europe	0.375	0.38	0	0.2	0.85
116	18	B	0	Emerging Europe	0.375	0.38	0	0.2	0.7
117	19	B	0	Emerging Europe	0.375	0.38	0	0.32	0.5
118	20	B	0	Emerging Europe	0.365	0.38	0	0.32	0.5
164	8	C	1	Emerging Europe	0.3	0.33	0	0.24	0.20001999999999998
171	8	B	0	Emerging Europe	0.32	0.0	1	0.51	0.15
172	9	B	0	Emerging Europe	0.32	0.0	1	0.51	0.15
175	12	B	0	Emerging Europe	0.32	0.0	1	0.51	0.13
176	13	B	0	Emerging Europe	0.32	0.0	1	0.51	0.01
177	14	B	0	Emerging Europe	0.32	0.0	1	0.51	0.01
178	15	B	0	Emerging Europe	0.32	0.0	1	0.51	0.01
179	16	B	0	Emerging Europe	0.32	0.0	1	0.51	0.01
180	17	B	0	Emerging Europe	0.32	0.0	1	0.3825	0.01
181	18	B	0	Emerging Europe	0.33	0.0	1	0.3825	0.2
182	19	B	0	Emerging Europe	0.33	0.0	1	0.3825	0.28
183	20	B	0	Emerging Europe	0.33	0.0	1	0.3825	0.3
202	8	C	1	Western Europe	0.35	0.0	0	0.225	0.5
203	9	C	1	Western Europe	0.36	0.0	0	0.225	0.73
204	10	C	1	Western Europe	0.36	0.0	0	0.225	0.94
205	11	C	1	Western Europe	0.37	0.0	0	0.225	0.79
206	12	C	1	Western Europe	0.375	0.0	0	0.21	0.75
207	13	C	1	Western Europe	0.38	0.0	0	0.225	0.5
208	14	C	1	Western Europe	0.35	0.0	0	0.21	0.5
209	15	C	1	Western Europe	0.36	0.0	0	0.21	0.509
210	16	B	0	Western Europe	0.36	0.0	0	0.21	0.53
211	17	B	0	Western Europe	0.36	0.0	0	0.24	0.5
212	18	B	0	Western Europe	0.36	0.0	0	0.24	0.5
213	19	B	0	Western Europe	0.36	0.0	0	0.24	0.5
214	20	B	0	Western Europe	0.36	0.0	0	0.225	0.5
229	8	B	0	Western Europe	0.365	0.0	1	0.056299999999999996	0.7
242	8	C	1	Western Europe	0.36	0.0	1	0.036000000000000004	0.6
252	8	C	1	Western Europe	0.4	0.0	0	0.027999999999999997	1.07
253	9	C	1	Western Europe	0.4	0.0	0	0.02	0.5
254	10	C	1	Western Europe	0.375	0.0	1	0.058499999999999996	0.54
255	11	C	1	Western Europe	0.075	0.0	1	0.0765	0.69
256	12	C	1	Western Europe	0.35	0.0	1	0.042	0.4
257	13	C	1	Western Europe	0.37	0.0	1	0.0825	0.45
258	14	C	1	Western Europe	0.37	0.0	1	0.09	0.47
259	15	C	1	Western Europe	0.39	0.0	1	0.075	0.5
260	16	B	0	Western Europe	0.415	0.0	1	0.075	0.509
261	17	B	0	Western Europe	0.42	0.0	1	0.061500000000000006	0.5
262	18	B	0	Western Europe	0.42	0.0	1	0.054000000000000006	0.43
263	19	B	0	Western Europe	0.42	0.0	1	0.06	0.65
264	20	B	0	Western Europe	0.42	0.0	1	0.06	0.48200000000000004
298	8	B	0	Western Europe	0.285	0.0	0	0.275	0.15
299	9	B	0	Western Europe	0.285	0.32	0	0.25	0.3
300	10	B	0	Western Europe	0.31	0.27	0	0.225	0.37
301	11	B	0	Western Europe	0.31	0.27	0	0.225	0.375
